Geographic Region and State,Facilities (n),,,,,Number of women of reproductive age per facility,,,,,Facility closures (n),,,,New facilities* (n),,,,Net change in the number of open facilities (n),,,,"Facilities offering only procedural abortion only, n (%)",,,,,"Facilities offering only medication abortion only, n (%)",,,,,"Facilities offering both procedural abortion and medication abortion, n (%)",,,,,"Gestational limit for medication abortion, mean (range)",,,,,"Gestational limit for procedural abortion, mean (range)",,,,,Median cost of medication abortion services,,,,,Median cost of first trimester procedural abortion services,,,,,Median cost of second trimester procedural abortion services,,,,,"Accepts insurance, n (%†)",,,,,"Number of independent clinics, n (%)",,,,,"Number of Planned Parenthoods, n (%)",,,,
,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,"2017- 
2018","2018- 
2019","2019- 
2020","2020- 
2021","2017- 
2018","2018- 
2019","2019- 
2020","2020- 
2021","2017- 
2018","2018- 
2019","2019- 
2020","2020- 
2021",2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021
Connecticut,19,18,18,12,18,"41,825","43,957","43,686","65,529","43,686",1,0,6,0,0,0,0,2,0,0,-6,2,0 (0),0 (0),0 (0),0 (0),0 (0),13 (68),12 (67),12 (67),6 (50),11 (61),6 (32),6 (33),6 (33),6 (50),7 (39),10 (10-11),10 (10-10),10 (10-10),11 (10-11),10 (8-11),17 (12-24),17 (12-24),17 (12-24),17 (12-24),17 (12-24),619,619,650,650,620,657,638,705,760,657,802,852,--,802,650,18 (95),17 (94),18 (100),12 (100),16 (89),2 (11),2 (11),2 (11),2 (17),4 (22),17 (89),16 (89),16 (89),10 (83),14 (78)
Maine,20,20,18,20,21,"13,773","13,755","15,276","13,749","13,094",0,2,0,0,0,0,0,1,0,-2,0,1,0 (0),0 (0),0 (0),0 (0),0 (0),17 (85),17 (85),15 (83),17 (85),18 (86),3 (15),3 (15),3 (17),3 (15),3 (14),10 (9-10),10 (10-10),10 (10-11),10 (10-11),10 (8-11),14 (14-19),14 (14-19),14 (14-19),14 (14-19),14 (14-20),525,525,500,500,500,500,500,525,525,525,600,600,--,828,763,3 (15),3 (15),1 (6),1 (5),2 (10),19 (95),19 (95),17 (94),19 (95),20 (95),1 (5),1 (5),1 (6),1 (5),1 (5)
Massachusetts,19,19,16,18,19,"85,141","85,162","100,874","89,666","84,946",0,4,1,1,0,3,3,1,0,-1,2,0,4 (21),3 (16),2 (13),1 (6),2 (11),0 (0),0 (0),0 (0),2 (11),2 (11),15 (79),16 (84),14 (88),14 (82),14 (78),9 (7-10),9 (7-10),10 (7-10),10 (8-11),10 (8-11),20 (12-27),21 (12-27),20 (12-27),21 (12-27),21 (12-27),558,558,650,650,650,583,583,700,700,700,2025,2025,--,1075,725,19 (100),19 (100),15 (94),16 (89),16 (84),16 (84),16 (84),13 (81),15 (83),16 (84),3 (16),3 (16),3 (19),3 (17),3 (16)
New Hampshire,6,6,6,5,7,"48,381","48,184","48,183","57,820","41,300",0,0,1,0,0,0,0,1,0,0,-1,1,0 (0),0 (0),0 (0),0 (0),0 (0),1 (17),1 (17),1 (17),1 (20),2 (29),5 (83),5 (83),5 (83),4 (80),5 (71),9 (8-10),9 (8-10),10 (9-11),10 (9-11),9 (8-11),12 (12-16),12 (12-16),15 (12-16),15 (10-16),15 (12-16),--,--,555,555,555,--,--,558,556,600,--,--,--,668,--,6 (100),6 (100),6 (100),5 (100),6 (86),4 (67),4 (67),4 (67),3 (60),5 (71),2 (33),2 (33),2 (33),2 (40),2 (29)
Rhode Island,3,3,3,2,3,"80,659","80,493","80,251","120,377","80,251",0,0,1,0,0,0,0,1,0,0,-1,1,0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),1 (33),0 (0),1 (33),3 (100),3 (100),2 (67),2 (100),2 (67),10 (10-10),10 (10-10),10 (10-10),10 (10-10),10 (8-10),19 (10-22),19 (10-22),14 (10-19),15 (10-20),15 (10-19),523,523,600,675,600,658,658,703,675,730,1875,1875,--,798,855,3 (100),3 (100),3 (100),2 (100),1 (33),2 (67),2 (67),2 (67),1 (50),2 (67),1 (33),1 (33),1 (33),1 (50),1 (33)
Vermont,6,6,6,6,7,"22,392","22,318","22,205","22,205","19,033",0,0,0,0,0,0,0,1,0,0,0,1,0 (0),0 (0),0 (0),0 (0),0 (0),3 (50),3 (50),3 (50),3 (50),4 (57),3 (50),3 (50),3 (50),3 (50),3 (43),10 (10-10),10 (10-10),11 (11-11),11 (11-11),11 (8-12),14 (12-19),14 (12-19),14 (12-19),12 (12-19),12 (12-19),--,--,555,555,555,--,--,555,555,555,--,--,--,828,--,6 (100),6 (100),6 (100),6 (100),6 (86),0 (0),0 (0),0 (0),0 (0),1 (14),6 (100),6 (100),6 (100),6 (100),6 (86)
New Jersey,50,45,44,43,43,"39,832","44,018","44,781","45,823","45,823",5,1,4,2,0,0,2,2,-5,-1,-2,0,6 (12),6 (14),6 (14),2 (5),1 (2),22 (45),17 (39),17 (39),20 (47),20 (47),21 (43),21 (48),21 (48),21 (49),22 (51),10 (7-10),10 (7-10),10 (7-12),10 (7-11),10 (7-11),14 (10-25),14 (10-25),16 (10-25),14 (10-25),14 (12-25),400,400,490,490,490,380,380,400,410,415,480,480,--,510,700,49 (98),44 (98),40 (91),40 (93),25 (58),27 (54),27 (60),26 (59),23 (53),24 (56),19 (46),18 (40),18 (41),20 (47),19 (44)
New York,92,93,89,94,89,"49,669","48,698","50,397","47,716","50,397",0,4,3,14,2,3,8,10,2,-1,5,-4,8 (9),8 (9),8 (9),10 (11),3 (3),29 (32),31 (33),31 (35),31 (34),32 (36),55 (60),54 (58),50 (56),50 (55),54 (61),9 (7-10),10 (7-11),10 (7-11),11 (7-11),10 (7-12),18 (10-24),18 (10-24),18 (10-24),18 (11-26),17 (10-26),450,450,580,580,580,463,463,538,519,580,1059,1059,--,1188,600,88 (96),87 (94),84 (94),86 (91),70 (79),43 (47),43 (46),40 (45),44 (47),43 (48),46 (53),50 (54),49 (55),50 (53),46 (52)
Pennsylvania,17,12,16,17,16,"164,027","231,794","173,246","163,055","173,246",5,0,1,0,0,2,2,0,-5,2,1,0,0 (0),0 (0),0 (0),0 (0),0 (0),4 (24),3 (25),4 (25),3 (20),3 (20),13 (77),9 (75),12 (75),12 (80),12 (80),10 (9-10),10 (9-10),10 (9-10),11 (10-11),11 (10-11),17 (14-23),16 (14-23),17 (14-24),16 (14-24),16 (14-24),450,450,430,470,448,450,450,528,500,478,540,540,--,713,550,16 (94),12 (100),15 (94),16 (94),15 (94),6 (35),5 (42),6 (38),6 (35),5 (31),11 (65),7 (58),10 (63),11 (65),11 (69)
Illinois,24,24,29,30,29,"122,599","121,559","99,837","96,509","99,837",0,2,1,3,0,7,2,2,0,5,1,-1,0 (0),0 (0),0 (0),0 (0),0 (0),9 (38),8 (33),12 (41),13 (43),16 (55),15 (63),16 (67),17 (59),17 (57),13 (45),10 (7-10),10 (7-10),10 (7-10),10 (10-11),10 (8-11),20 (12-24),20 (12-24),20 (12-24),20 (13-24),20 (13-24),475,475,470,470,490,455,455,475,480,463,1390,1390,--,545,1385,21 (88),21 (88),25 (86),26 (87),24 (83),13 (54),13 (54),14 (48),14 (47),13 (45),11 (46),11 (46),15 (52),16 (53),16 (55)
