Number of Planned Parenthoods, n (%)
State,2017,2018,2019,2020
Connecticut,17 (89),16 (89),16 (89),10 (83)
Maine,1 (5),1 (5),1 (6),1 (5)
Massachusetts,3 (16),3 (16),3 (19),3 (17)
New Hampshire,2 (33),2 (33),2 (33),2 (40)
Rhode Island,1 (33),1 (33),1 (33),1 (50)
Vermont,6 (100),6 (100),6 (100),6 (100)
New Jersey,19 (46),18 (40),18 (41),20 (47)
New York,46 (53),50 (54),49 (55),50 (53)
Pennsylvania,11 (65),7 (58),10 (63),11 (65)
Illinois,11 (46),11 (46),15 (52),16 (53)
Indiana,4 (57),4 (57),4 (57),4 (57)
Michigan,8 (35),8 (35),9 (43),10 (45)
Ohio,3 (27),3 (33),3 (30),3 (33)
Wisconsin,2 (67),2 (67),3 (75),3 (75)
Iowa,5 (83),5 (83),5 (83),5 (83)
Kansas,2 (50),2 (50),2 (50),2 (50)
Minnesota,1 (20),1 (20),2 (40),2 (40)
Missouri,1 (100),1 (100),2 (100),1 (100)
Nebraska,2 (67),2 (67),2 (67),2 (67)
North Dakota,0 (0),0 (0),0 (0),0 (0)
South Dakota,1 (100),1 (100),1 (100),1 (100)
Delaware,2 (67),2 (67),2 (100),2 (100)
District of Columbia,1 (33),1 (33),1 (17),1 (20)
Florida,14 (22),14 (27),15 (26),14 (26)
Georgia,3 (18),4 (24),4 (25),4 (29)
Maryland,6 (24),5 (23),5 (24),7 (37)
North Carolina,5 (36),5 (38),5 (36),6 (38)
South Carolina,2 (67),2 (67),2 (67),2 (67)
Virginia,4 (27),4 (27),5 (33),5 (31)
West Virginia,0 (0),0 (0),0 (0),0 (0)
Alabama,2 (40),2 (40),0 (0),0 (0)
Kentucky,0 (0),0 (0),0 (0),0 (0)
Mississippi,0 (0),0 (0),0 (0),0 (0)
Tennessee,4 (50),4 (50),4 (50),4 (50)
Arkansas,2 (67),2 (67),2 (67),1 (50)
Louisiana,0 (0),0 (0),0 (0),0 (0)
Oklahoma,1 (25),0 (0),1 (25),1 (25)
Texas,6 (29),4 (21),9 (39),8 (36)
Arizona,4 (50),4 (50),4 (50),4 (50)
Colorado,11 (52),11 (52),10 (53),12 (52)
Idaho,3 (75),3 (75),3 (75),3 (75)
Montana,3 (60),3 (60),4 (67),4 (67)
Nevada,2 (25),2 (25),2 (29),3 (33)
New Mexico,2 (40),2 (40),2 (40),2 (40)
Utah,1 (50),1 (50),1 (50),1 (50)
Wyoming,0 (0),0 (0),0 (0),0 (0)
Alaska,4 (67),4 (67),4 (67),4 (80)
California,91 (60),89 (59),91 (58),99 (61)
Hawaii,2 (67),2 (67),2 (67),2 (67)
Oregon,8 (67),8 (67),10 (83),11 (85)
Washington,26 (79),24 (77),24 (77),26 (81)
